,en,sens
290,590.0,2.77092944047e-06
291,591.0,2.76873993008e-06
292,592.0,2.76655159137e-06
293,593.0,2.76436438656e-06
294,594.0,2.76217835344e-06
295,595.0,2.75999345421e-06
296,596.0,2.75780968887e-06
297,597.0,2.75562705743e-06
298,598.0,2.75344559768e-06
299,599.0,2.75126527182e-06
300,600.0,2.74908607985e-06
301,601.0,2.74690805958e-06
302,602.0,2.74473117319e-06
303,603.0,2.7425554585e-06
304,604.0,2.7403808777e-06
305,605.0,2.7382074308e-06
306,606.0,2.73603515558e-06
307,607.0,2.73386405206e-06
308,608.0,2.73169408242e-06
309,609.0,2.72952524668e-06
310,610.0,2.72735762043e-06
311,611.0,2.72519109028e-06
312,612.0,2.72302576961e-06
313,613.0,2.72086154503e-06
314,614.0,2.71869852995e-06
315,615.0,2.71653664876e-06
316,616.0,2.71437593925e-06
317,617.0,2.71221640144e-06
318,618.0,2.71005799752e-06
319,619.0,2.70790076529e-06
320,620.0,2.70574470475e-06
321,621.0,2.7035897781e-06
322,622.0,2.70143602315e-06
323,623.0,2.69928343988e-06
324,624.0,2.6971320283e-06
325,625.0,2.69498178842e-06
326,626.0,2.69283268242e-06
327,627.0,2.69068478592e-06
328,628.0,2.6885380233e-06
329,629.0,2.68639243238e-06
330,630.0,2.68424801314e-06
331,631.0,2.6821047656e-06
332,632.0,2.67996268975e-06
333,633.0,2.67782178558e-06
334,634.0,2.67568205311e-06
335,635.0,2.67354349232e-06
336,636.0,2.67140610323e-06
337,637.0,2.66926992362e-06
338,638.0,2.6671348779e-06
339,639.0,2.66500100388e-06
340,640.0,2.66286830154e-06
341,641.0,2.66073680869e-06
342,642.0,2.65860644974e-06
343,643.0,2.65647730027e-06
344,644.0,2.65434932249e-06
345,645.0,2.6522225164e-06
346,646.0,2.6500969198e-06
347,647.0,2.64797245709e-06
348,648.0,2.64584920386e-06
349,649.0,2.64372712233e-06
350,650.0,2.64160625028e-06
351,651.0,2.63948654992e-06
352,652.0,2.63736802126e-06
353,653.0,2.63525066428e-06
354,654.0,2.63313451679e-06
355,655.0,2.63101954099e-06
356,656.0,2.62890577467e-06
357,657.0,2.62679318005e-06
358,658.0,2.62468175711e-06
359,659.0,2.62257154366e-06
360,660.0,2.6204625019e-06
361,661.0,2.61835466963e-06
362,662.0,2.61624804684e-06
363,663.0,2.61414259574e-06
364,664.0,2.61203831634e-06
365,665.0,2.60993524642e-06
366,666.0,2.60783338598e-06
367,667.0,2.60573269724e-06
368,668.0,2.60363321798e-06
369,669.0,2.60153491041e-06
370,670.0,2.59943781233e-06
371,671.0,2.59734192373e-06
372,672.0,2.59524724462e-06
373,673.0,2.5931537372e-06
374,674.0,2.59106143927e-06
375,675.0,2.58897035082e-06
376,676.0,2.58688043407e-06
377,677.0,2.5847917268e-06
378,678.0,2.58270422901e-06
379,679.0,2.58061794071e-06
380,680.0,2.5785328619e-06
381,681.0,2.57644899258e-06
382,682.0,2.57436629494e-06
383,683.0,2.57228484459e-06
384,684.0,2.57020456592e-06
385,685.0,2.56812549675e-06
386,686.0,2.56604763706e-06
387,687.0,2.56397098685e-06
388,688.0,2.56189558393e-06
389,689.0,2.5598213527e-06
390,690.0,2.55774833096e-06
391,691.0,2.5556765187e-06
392,692.0,2.55360591592e-06
393,693.0,2.55153656043e-06
394,694.0,2.54946837664e-06
395,695.0,2.54740144012e-06
396,696.0,2.54533571309e-06
397,697.0,2.54327115775e-06
398,698.0,2.54120788748e-06
399,699.0,2.53914578891e-06
400,700.0,2.53708489983e-06
401,701.0,2.53502525802e-06
402,702.0,2.53296682571e-06
403,703.0,2.53090960288e-06
404,704.0,2.52885362733e-06
405,705.0,2.52679882347e-06
406,706.0,2.5247452669e-06
407,707.0,2.52269295761e-06
408,708.0,2.5206418578e-06
409,709.0,2.51859196748e-06
410,710.0,2.51654332444e-06
411,711.0,2.51449589089e-06
412,712.0,2.51244966683e-06
413,713.0,2.51040469005e-06
414,714.0,2.50836092275e-06
415,715.0,2.50631840274e-06
416,716.0,2.50427709222e-06
417,717.0,2.50223702897e-06
418,718.0,2.50019821301e-06
419,719.0,2.49816060654e-06
420,720.0,2.49612420955e-06
421,721.0,2.49408905985e-06
422,722.0,2.49205515742e-06
423,723.0,2.49002246449e-06
424,724.0,2.48799101884e-06
425,725.0,2.48596082046e-06
426,726.0,2.48393183158e-06
427,727.0,2.48190412778e-06
428,728.0,2.47987759566e-06
429,729.0,2.47785234863e-06
430,730.0,2.47582831108e-06
431,731.0,2.47380552081e-06
432,732.0,2.47178397783e-06
433,733.0,2.46976368212e-06
434,734.0,2.46774463371e-06
435,735.0,2.46572679477e-06
436,736.0,2.46371020312e-06
437,737.0,2.46169489655e-06
438,738.0,2.45968079947e-06
439,739.0,2.45766794967e-06
440,740.0,2.45565634715e-06
441,741.0,2.45364599192e-06
442,742.0,2.45163688396e-06
443,743.0,2.4496289855e-06
444,744.0,2.44762237211e-06
445,745.0,2.44561700601e-06
446,746.0,2.44361288718e-06
447,747.0,2.44161005344e-06
448,748.0,2.43960842918e-06
449,749.0,2.43760805221e-06
450,750.0,2.43560892252e-06
451,751.0,2.43361107791e-06
452,752.0,2.43161448058e-06
453,753.0,2.42961913053e-06
454,754.0,2.42762502777e-06
455,755.0,2.42563217229e-06
456,756.0,2.42364060189e-06
457,757.0,2.42165027877e-06
458,758.0,2.41966120294e-06
459,759.0,2.41767337438e-06
460,760.0,2.41568683091e-06
461,761.0,2.41370153472e-06
462,762.0,2.41171752361e-06
463,763.0,2.40973472198e-06
464,764.0,2.40775324323e-06
465,765.0,2.40577297397e-06
466,766.0,2.40379398978e-06
467,767.0,2.40181629068e-06
468,768.0,2.39983983886e-06
469,769.0,2.39786463432e-06
470,770.0,2.39589071486e-06
471,771.0,2.39391804268e-06
472,772.0,2.39194665558e-06
473,773.0,2.38997655356e-06
474,774.0,2.38800769883e-06
475,775.0,2.38604012917e-06
476,776.0,2.38407380679e-06
477,777.0,2.3821087695e-06
478,778.0,2.38014497949e-06
479,779.0,2.37818251235e-06
480,780.0,2.3762212925e-06
481,781.0,2.37426131992e-06
482,782.0,2.37230263243e-06
483,783.0,2.37034523002e-06
484,784.0,2.36838911269e-06
485,785.0,2.36643428043e-06
486,786.0,2.36448069546e-06
487,787.0,2.36252839557e-06
488,788.0,2.36057738075e-06
489,789.0,2.35862765102e-06
490,790.0,2.35667920637e-06
491,791.0,2.35473204679e-06
492,792.0,2.3527861345e-06
493,793.0,2.35084154508e-06
494,794.0,2.34889820295e-06
495,795.0,2.34695614589e-06
496,796.0,2.34501541171e-06
497,797.0,2.34307592481e-06
498,798.0,2.341137723e-06
499,799.0,2.33920084405e-06
500,800.0,2.3372652124e-06
501,801.0,2.33533086582e-06
502,802.0,2.33339784211e-06
503,803.0,2.33146610349e-06
504,804.0,2.32953561214e-06
505,805.0,2.32760644368e-06
506,806.0,2.32567856029e-06
507,807.0,2.32375199978e-06
508,808.0,2.32182668655e-06
509,809.0,2.31990269619e-06
510,810.0,2.31797999092e-06
511,811.0,2.31605857073e-06
512,812.0,2.31413843561e-06
513,813.0,2.31221962337e-06
514,814.0,2.31030209621e-06
515,815.0,2.30838585413e-06
516,816.0,2.30647093492e-06
517,817.0,2.30455730079e-06
518,818.0,2.30264498954e-06
519,819.0,2.30073392557e-06
520,820.0,2.29882422228e-06
521,821.0,2.29691576626e-06
522,822.0,2.29500863313e-06
523,823.0,2.29310282286e-06
524,824.0,2.29119829768e-06
525,825.0,2.28929509537e-06
526,826.0,2.28739317815e-06
527,827.0,2.28549258379e-06
528,828.0,2.28359327452e-06
529,829.0,2.28169528812e-06
530,830.0,2.2797985868e-06
531,831.0,2.27790320836e-06
532,832.0,2.27600915279e-06
533,833.0,2.27411638231e-06
534,834.0,2.27222493469e-06
535,835.0,2.27033480996e-06
536,836.0,2.2684459703e-06
537,837.0,2.26655845352e-06
538,838.0,2.26467225961e-06
539,839.0,2.26278738858e-06
540,840.0,2.26090380263e-06
541,841.0,2.25902157735e-06
542,842.0,2.25714063715e-06
543,843.0,2.25526101983e-06
544,844.0,2.25338268758e-06
545,845.0,2.25150571601e-06
546,846.0,2.24963006731e-06
547,847.0,2.24775570369e-06
548,848.0,2.24588270075e-06
549,849.0,2.24401098288e-06
550,850.0,2.24214058789e-06
551,851.0,2.24027155357e-06
552,852.0,2.23840380433e-06
553,853.0,2.23653737797e-06
554,854.0,2.23467231227e-06
555,855.0,2.23280853166e-06
556,856.0,2.23094607392e-06
557,857.0,2.22908497686e-06
558,858.0,2.22722520267e-06
559,859.0,2.22536675136e-06
560,860.0,2.22350962292e-06
561,861.0,2.22165381736e-06
562,862.0,2.21979933467e-06
563,863.0,2.21794621265e-06
564,864.0,2.21609441351e-06
565,865.0,2.21424393725e-06
566,866.0,2.21239478386e-06
567,867.0,2.21054699115e-06
568,868.0,2.20870052131e-06
