,emin,de,sens,emax,en
129,1215.25,10.0,3.66464420002e-11,1225.25,1220.23975615
130,1225.25,10.0,3.56600493611e-11,1235.25,1230.23983942
131,1235.25,10.0,3.56671046667e-11,1245.25,1240.23992135
132,1245.25,10.0,3.54866677519e-11,1255.25,1250.24000196
133,1255.25,10.0,3.53894591772e-11,1265.25,1260.24008129
134,1265.25,10.0,3.77478788106e-11,1275.25,1270.24015938
135,1275.25,10.0,3.68950612729e-11,1285.25,1280.24023624
136,1285.25,10.0,3.71295877065e-11,1295.25,1290.24031192
137,1295.25,10.0,3.68567048544e-11,1305.25,1300.24038643
138,1305.25,10.0,3.7218179462e-11,1315.25,1310.2404598
139,1315.25,10.0,3.70649079317e-11,1325.25,1320.24053206
140,1325.25,10.0,3.96909058688e-11,1335.25,1330.24060324
141,1335.25,10.0,4.06692830655e-11,1345.25,1340.24067335
142,1345.25,10.0,4.13892353934e-11,1355.25,1350.24074242
143,1355.25,10.0,3.82892406299e-11,1365.25,1360.24081048
144,1365.25,10.0,4.46406707712e-11,1375.25,1370.24087755
145,1375.25,10.0,4.09133718513e-11,1385.25,1380.24094364
146,1385.25,10.0,3.73738009994e-11,1395.25,1390.24100878
147,1395.25,10.0,3.75661268132e-11,1405.25,1400.24107299
148,1405.25,10.0,3.80204643788e-11,1415.25,1410.2411363
149,1415.25,10.0,3.75880270455e-11,1425.25,1420.24119871
150,1425.25,10.0,4.03167141267e-11,1435.25,1430.24126024
151,1435.25,10.0,3.88698317656e-11,1445.25,1440.24132093
152,1445.25,10.0,3.84042906991e-11,1455.25,1450.24138077
153,1455.25,10.0,4.18393323865e-11,1465.25,1460.2414398
154,1465.25,10.0,3.8900402352e-11,1475.25,1470.24149802
155,1475.25,10.0,3.89503133774e-11,1485.25,1480.24155546
156,1485.25,10.0,3.90634492356e-11,1495.25,1490.24161212
157,1495.25,10.0,3.96668567238e-11,1505.25,1500.24166803
158,1505.25,10.0,3.94488920452e-11,1515.25,1510.2417232
159,1515.25,10.0,4.01765919145e-11,1525.25,1520.24177765
160,1525.25,10.0,4.04690927024e-11,1535.25,1530.24183138
161,1535.25,10.0,4.14556093383e-11,1545.25,1540.24188441
162,1545.25,10.0,4.03024472507e-11,1555.25,1550.24193676
163,1555.25,10.0,3.9669026304e-11,1565.25,1560.24198844
164,1565.25,10.0,3.97196953359e-11,1575.25,1570.24203946
165,1575.25,10.0,4.0411409832e-11,1585.25,1580.24208984
166,1585.25,10.0,4.12059644739e-11,1595.25,1590.24213958
167,1595.25,10.0,4.04655019627e-11,1605.25,1600.2421887
168,1605.25,10.0,4.36220096311e-11,1615.25,1610.24223721
169,1615.25,10.0,4.16785346022e-11,1625.25,1620.24228512
170,1625.25,10.0,4.68862164586e-11,1635.25,1630.24233245
171,1635.25,10.0,4.25642010576e-11,1645.25,1640.24237919
172,1645.25,10.0,4.17437205987e-11,1655.25,1650.24242537
173,1655.25,10.0,4.26218782847e-11,1665.25,1660.242471
174,1665.25,10.0,4.14477171452e-11,1675.25,1670.24251607
175,1675.25,10.0,4.2327520175e-11,1685.25,1680.24256061
176,1685.25,10.0,4.17903578483e-11,1695.25,1690.24260463
177,1695.25,10.0,4.21714844534e-11,1705.25,1700.24264812
178,1705.25,10.0,4.28459693305e-11,1715.25,1710.24269111
179,1715.25,10.0,4.3812015646e-11,1725.25,1720.2427336
180,1725.25,10.0,4.34731918482e-11,1735.25,1730.2427756
181,1735.25,10.0,4.32467690371e-11,1745.25,1740.24281711
182,1745.25,10.0,4.42972778766e-11,1755.25,1750.24285815
