,en,sens
139,121.929946899,2.32295359811e-06
140,124.119659424,2.34498092269e-06
141,126.348693848,2.36931399862e-06
142,128.617767334,2.39581948616e-06
143,130.927581787,2.42436191018e-06
144,133.278900146,2.45480364025e-06
145,135.672424316,2.48700816702e-06
146,138.108932495,2.52084113662e-06
147,140.589202881,2.55617317417e-06
148,143.114013672,2.59288126931e-06
149,145.684173584,2.63084942295e-06
150,148.300476074,2.66997146206e-06
151,150.963775635,2.71015088337e-06
152,153.674911499,2.75130233565e-06
153,156.4347229,2.7933512427e-06
154,159.244110107,2.83623702348e-06
155,162.103942871,2.87991022516e-06
156,165.015136719,2.92433224166e-06
157,167.978607178,2.96947776534e-06
158,170.995300293,3.01533077098e-06
159,174.066177368,3.06188172296e-06
160,177.192199707,3.10913107882e-06
161,180.374359131,3.15708792107e-06
162,183.613647461,3.2057656044e-06
163,186.911132812,3.25518193212e-06
164,190.267837524,3.3053569948e-06
165,193.684814453,3.3563138831e-06
166,197.163162231,3.40807135766e-06
167,200.703979492,3.46065062767e-06
168,204.308380127,3.5140676219e-06
169,207.977508545,3.5683369185e-06
170,211.712554932,3.62346737582e-06
171,215.514648438,3.6794638791e-06
172,219.385040283,3.73632033379e-06
173,223.324920654,3.79402358081e-06
174,227.335571289,3.85255443743e-06
175,231.418243408,3.9118849889e-06
176,235.574234009,3.97198798723e-06
177,239.804870605,4.03281771186e-06
178,244.111480713,4.09433082775e-06
179,248.495422363,4.15647428356e-06
180,252.958099365,4.21919018575e-06
181,257.500915527,4.28242038409e-06
182,262.125305176,4.346095329e-06
183,266.832763672,4.41014977965e-06
184,271.624786377,4.47451436975e-06
185,276.502838135,4.53912536085e-06
186,281.468505859,4.6039120462e-06
187,286.52331543,4.66881246552e-06
188,291.668945312,4.73376492723e-06
189,296.906982422,4.79871616965e-06
190,302.239074707,4.86361901521e-06
191,307.666931152,4.92842942795e-06
192,313.192260742,4.99311301307e-06
193,318.816802979,5.05764093747e-06
194,324.542358398,5.12199936532e-06
195,330.370758057,5.18617363391e-06
196,336.303833008,5.25015658338e-06
197,342.343444824,5.31395275329e-06
198,348.491516113,5.37756030771e-06
199,354.75,5.44098635251e-06
200,361.120910645,5.50423857693e-06
201,367.606201172,5.56733062263e-06
202,374.207946777,5.63026446794e-06
203,380.928283691,5.69304209436e-06
204,387.769287109,5.75566745666e-06
205,394.733154297,5.81812415468e-06
206,401.82208252,5.88040045385e-06
207,409.038330078,5.94248062385e-06
208,416.384155273,6.00433161429e-06
209,423.861938477,6.06584456869e-06
210,431.473968506,6.12698583729e-06
211,439.222717285,6.1877292043e-06
212,447.110656738,6.2480141483e-06
213,455.140197754,6.30777607186e-06
214,463.313995361,6.36694840475e-06
215,471.634552002,6.42546401274e-06
216,480.104553223,6.48325459201e-06
217,488.726623535,6.54025333922e-06
218,497.503601074,6.59639256684e-06
219,506.438171387,6.65160307155e-06
220,515.533203125,
221,524.791503906,
222,534.216186523,
223,543.810058594,
224,553.576171875,
225,563.51776123,
226,573.637878418,
227,583.939697266,
228,594.426574707,
229,605.101806641,
230,615.96862793,
231,627.030700684,
232,638.291442871,
233,649.754394531,
234,661.423217773,
235,673.301513672,
236,685.393249512,
237,697.702087402,
238,710.231933594,
239,722.986877441,
240,735.970825195,
241,749.187988281,
242,762.642578125,
243,776.338684082,
244,790.280761719,
245,804.473266602,
246,818.920654297,
247,833.627441406,
248,848.598388672,
249,863.838256836,
250,879.35168457,
251,895.143798828,
252,911.219543457,
253,927.583984375,
254,944.242248535,
255,961.199707031,
256,978.461669922,
257,996.033691406,
258,1013.92126465,
259,1032.13012695,
260,1050.66589355,
261,1069.5345459,
262,1088.7421875,
263,1108.29467773,
264,1128.19824219,
265,1148.45935059,
266,1169.08422852,
267,1190.07958984,
268,1211.45214844,
269,1233.20825195,
270,1255.35522461,
271,1277.89990234,
272,1300.8494873,
273,1324.21118164,
274,1347.99243164,
275,1372.20068359,
276,1396.84375,
277,1421.92944336,
278,1447.46557617,
279,1473.46032715,
280,1499.921875,
281,1526.85864258,
282,1554.27929688,
283,1582.19226074,
284,1610.60644531,
285,1639.53100586,
286,1668.97509766,
287,1698.94787598,
288,1729.45898438,
289,1760.51794434,
290,1792.13476562,
291,1824.31933594,
292,1857.08178711,
293,1890.43286133,
294,1924.3828125,
295,1958.94238281,
296,1994.12255859,
297,2029.93457031,
